state,r3_funding_region,county,r3_zone_id,census_tract_name,census_tract_geoid,service_delivery_minimum_funding_amount,service_delivery_maximum_funding_amount,planning_grant_minimum_funding_amount,planning_grant_maximum_funding_amount,high_need_area
Illinois,Central,Macon County,674,Census Tract 19,17115001900,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Central,Montgomery County,680,Census Tract 9579,17135957900,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Northwest Central,Peoria County,642,Census Tract 2,17143000200,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest Central,Peoria County,658,Census Tract 41.02,17143004102,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Northwest Central,Peoria County,644,Census Tract 5,17143000500,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest Central,Peoria County,641,Census Tract 1,17143000100,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest Central,Peoria County,643,Census Tract 3,17143000300,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest Central,Peoria County,653,Census Tract 22,17143002200,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,South Central,Madison County,717,Census Tract 4006,17119400600,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",Yes
Illinois,Northwest Central,Peoria County,645,Census Tract 6,17143000600,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest Central,Peoria County,646,Census Tract 9,17143000900,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest Central,Peoria County,647,Census Tract 12,17143001200,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest,Henry County,598,Census Tract 306,17073030600,"$20,000 ","$245,577 ","$20,000 ","$27,286 ",No
Illinois,Northwest Central,Peoria County,648,Census Tract 13,17143001300,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest Central,Peoria County,649,Census Tract 15,17143001500,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Central,Macon County,666,Census Tract 2,17115000200,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Central,Macon County,676,Census Tract 21,17115002100,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Northwest Central,Peoria County,650,Census Tract 16,17143001600,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Central,Macon County,667,Census Tract 3,17115000300,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,South Central,St. Clair County,735,Census Tract 5005,17163500500,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",Yes
Illinois,South Central,St. Clair County,736,Census Tract 5009,17163500900,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",Yes
Illinois,Central,Macon County,671,Census Tract 9,17115000900,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Central,Macon County,672,Census Tract 10,17115001000,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,South Central,Coles County,708,Census Tract 4,17029000400,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",No
Illinois,Central,Macon County,668,Census Tract 4,17115000400,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Central,Macon County,670,Census Tract 6,17115000600,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Northwest Central,McLean County,631,Census Tract 4,17113000400,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Northwest Central,McLean County,633,Census Tract 13.01,17113001301,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Northwest Central,McLean County,629,Census Tract 2,17113000200,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Northwest Central,Peoria County,654,Census Tract 24,17143002400,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Northwest Central,Peoria County,655,Census Tract 25,17143002500,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,South Central,Jersey County,715,Census Tract 101,17083010100,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",No
Illinois,Central,Greene County,663,Census Tract 9737,17061973700,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Northwest Central,McLean County,630,Census Tract 3.01,17113000301,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Cook - Chicago Western,Cook County,319,Census Tract 2522.01,17031252201,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",Yes
Illinois,Cook - Chicago Southern,Cook County,137,Census Tract 6603.02,17031660302,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Southern,Cook County,136,Census Tract 6603.01,17031660301,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Southern,Cook County,203,Census Tract 7302.02,17031730202,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Suburban,Cook County,397,Census Tract 8133.02,17031813302,"$25,000 ","$2,166,010 ","$25,000 ","$240,668 ",No
Illinois,Cook - Suburban,Cook County,396,Census Tract 8133.01,17031813301,"$25,000 ","$2,166,010 ","$25,000 ","$240,668 ",No
Illinois,Cook - Chicago Southern,Cook County,225,Census Tract 8356,17031835600,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Northwest Central,McLean County,632,Census Tract 5.01,17113000501,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Cook - Chicago Southern,Cook County,230,Census Tract 8364,17031836400,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",No
Illinois,Cook - Chicago Southern,Cook County,229,Census Tract 8361,17031836100,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Southern,Cook County,218,Census Tract 8346,17031834600,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Southern,Cook County,244,Census Tract 8436,17031843600,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",No
Illinois,Collar,Will County,537,Census Tract 8826.02,17197882602,"$25,000 ","$1,374,297 ","$25,000 ","$152,700 ",No
